date,year,month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2023-08-01,2023,8,1,Category A,632,618,949,99499
2023-08-01,2023,8,1,Category B,470,469,853,126889
2023-08-01,2023,8,1,Category C,122,121,222,82100
2023-08-01,2023,8,1,Category D,522,443,759,11501
2023-08-01,2023,8,1,Category E,140,140,237,126201
2023-08-01,2023,8,2,Category A,636,616,908,100000
2023-08-01,2023,8,2,Category B,478,451,731,129890
2023-08-01,2023,8,2,Category C,114,114,180,82801
2023-08-01,2023,8,2,Category D,495,486,654,11402
2023-08-01,2023,8,2,Category E,131,107,237,131000
2023-09-01,2023,9,1,Category A,645,640,840,101000
2023-09-01,2023,9,1,Category B,470,466,723,134889
2023-09-01,2023,9,1,Category C,115,115,182,82889
2023-09-01,2023,9,1,Category D,573,569,758,10901
2023-09-01,2023,9,1,Category E,130,120,219,137000
2023-09-01,2023,9,2,Category A,651,635,864,105000
2023-09-01,2023,9,2,Category B,496,494,735,140889
2023-09-01,2023,9,2,Category C,114,114,153,83801
2023-09-01,2023,9,2,Category D,502,494,639,10700
2023-09-01,2023,9,2,Category E,153,144,282,144640
2023-10-01,2023,10,1,Category A,785,779,"1,039",104000
2023-10-01,2023,10,1,Category B,474,472,643,146002
2023-10-01,2023,10,1,Category C,114,112,191,85900
2023-10-01,2023,10,1,Category D,497,494,661,10856
2023-10-01,2023,10,1,Category E,140,140,261,152000
2023-10-01,2023,10,2,Category A,797,791,"1,028",106000
2023-10-01,2023,10,2,Category B,472,458,623,150001
2023-10-01,2023,10,2,Category C,114,112,186,84790
2023-10-01,2023,10,2,Category D,502,474,632,11201
2023-10-01,2023,10,2,Category E,138,127,228,158004
2023-11-01,2023,11,1,Category A,924,915,1165,95689
2023-11-01,2023,11,1,Category B,636,631,830,110001
2023-11-01,2023,11,1,Category C,190,186,281,78001
2023-11-01,2023,11,1,Category D,520,512,630,10889
2023-11-01,2023,11,1,Category E,141,136,227,125011
2023-11-01,2023,11,2,Category A,925,925,1291,85001
2023-11-01,2023,11,2,Category B,648,638,1228,135336
2023-11-01,2023,11,2,Category C,190,186,368,73889
2023-11-01,2023,11,2,Category D,545,518,702,10001
2023-11-01,2023,11,2,Category E,151,144,323,135002
2023-12-01,2023,12,1,Category A,928,923,"1,233",88020
2023-12-01,2023,12,1,Category B,638,638,933,130100
2023-12-01,2023,12,1,Category C,193,188,346,71001
2023-12-01,2023,12,1,Category D,529,527,731,9858
2023-12-01,2023,12,1,Category E,145,136,287,133388
2023-12-01,2023,12,2,Category A,919,915,"1,166",85000
2023-12-01,2023,12,2,Category B,643,619,847,110001
2023-12-01,2023,12,2,Category C,192,189,359,69423
2023-12-01,2023,12,2,Category D,546,545,646,9002
2023-12-01,2023,12,2,Category E,147,147,228,118388
2024-01-01,2024,1,1,Category A,924,920,"1,184",65010
2024-01-01,2024,1,1,Category B,633,628,850,85010
2024-01-01,2024,1,1,Category C,193,192,340,67599
2024-01-01,2024,1,1,Category D,523,514,666,9114
2024-01-01,2024,1,1,Category E,149,140,263,106388
2024-01-01,2024,1,2,Category A,923,921,"1,880",81589
2024-01-01,2024,1,2,Category B,657,657,"1,308",112000
2024-01-01,2024,1,2,Category C,191,187,394,68001
2024-01-01,2024,1,2,Category D,520,491,615,9309
2024-01-01,2024,1,2,Category E,140,136,267,109004
2024-02-01,2024,2,1,Category A,938,910,"1,931",79000
2024-02-01,2024,2,1,Category B,655,596,"1,163",102338
2024-02-01,2024,2,1,Category C,196,191,366,72001
2024-02-01,2024,2,1,Category D,530,528,717,9290
2024-02-01,2024,2,1,Category E,163,159,305,100101
2024-02-01,2024,2,2,Category A,937,936,"1,909",76801
2024-02-01,2024,2,2,Category B,649,642,"1,034",97000
2024-02-01,2024,2,2,Category C,199,192,374,73001
2024-02-01,2024,2,2,Category D,548,548,689,8911
2024-02-01,2024,2,2,Category E,158,156,271,94006
2024-03-01,2024,3,1,Category A,963,923,"1,866",83000
2024-03-01,2024,3,1,Category B,708,704,"1,073",96010
2024-03-01,2024,3,1,Category C,200,198,303,75599
2024-03-01,2024,3,1,Category D,520,518,646,9400
2024-03-01,2024,3,1,Category E,159,150,282,95010
2024-03-01,2024,3,2,Category A,936,935,"1,922",85489
2024-03-01,2024,3,2,Category B,656,615,"1,066",96011
2024-03-01,2024,3,2,Category C,202,202,313,70112
2024-03-01,2024,3,2,Category D,521,516,629,9689
2024-03-01,2024,3,2,Category E,157,157,256,95856
2024-04-01,2024,4,1,Category A,975,970,"1,922",89000
2024-04-01,2024,4,1,Category B,653,645,"1,208",101334
2024-04-01,2024,4,1,Category C,197,196,365,67501
2024-04-01,2024,4,1,Category D,520,510,610,10000
2024-04-01,2024,4,1,Category E,164,161,333,101002
2024-04-01,2024,4,2,Category A,936,916,"1,390",94010
2024-04-01,2024,4,2,Category B,690,690,"1,008",102001
2024-04-01,2024,4,2,Category C,195,193,332,68502
2024-04-01,2024,4,2,Category D,522,514,625,9990
2024-04-01,2024,4,2,Category E,155,151,269,103249
2024-05-01,2024,5,1,Category A,968,968,"1,632",93604
2024-05-01,2024,5,1,Category B,666,638,"1,237",105002
2024-05-01,2024,5,1,Category C,206,181,350,70001
2024-05-01,2024,5,1,Category D,528,528,630,9503
2024-05-01,2024,5,1,Category E,177,169,317,104689
2024-05-01,2024,5,2,Category A,983,980,"1,444",92700
2024-05-01,2024,5,2,Category B,658,641,"1,099",105689
2024-05-01,2024,5,2,Category C,207,198,382,72001
2024-05-01,2024,5,2,Category D,526,523,604,9311
2024-05-01,2024,5,2,Category E,178,176,295,105002
2024-06-01,2024,6,1,Category A,962,957,"1,467",88200
2024-06-01,2024,6,1,Category B,685,671,974,100607
2024-06-01,2024,6,1,Category C,230,222,334,70589
2024-06-01,2024,6,1,Category D,519,519,628,8989
2024-06-01,2024,6,1,Category E,183,182,319,101600
2024-06-01,2024,6,2,Category A,966,955,"1,403",90889
2024-06-01,2024,6,2,Category B,674,670,"1,046",102334
2024-06-01,2024,6,2,Category C,214,206,291,69900
2024-06-01,2024,6,2,Category D,520,519,620,9002
2024-06-01,2024,6,2,Category E,177,175,301,100000
2024-07-01,2024,7,1,Category A,967,932,"1,429",91001
2024-07-01,2024,7,1,Category B,671,671,896,100901
2024-07-01,2024,7,1,Category C,214,213,325,70001
2024-07-01,2024,7,1,Category D,517,517,571,8900
2024-07-01,2024,7,1,Category E,176,170,309,100889
2024-07-01,2024,7,2,Category A,973,972,"1,342",91899
2024-07-01,2024,7,2,Category B,661,639,891,100000
2024-07-01,2024,7,2,Category C,214,214,355,70601
2024-07-01,2024,7,2,Category D,518,512,591,9089
2024-07-01,2024,7,2,Category E,177,177,300,100341
2024-08-01,2024,8,1,Category A,1013,"1,007","1,570",94289
2024-08-01,2024,8,1,Category B,663,662,"1,150",106101
2024-08-01,2024,8,1,Category C,218,218,312,71100
2024-08-01,2024,8,1,Category D,517,513,599,9601
2024-08-01,2024,8,1,Category E,178,175,322,105239
2024-08-01,2024,8,2,Category A,978,966,"1,314",93900
2024-08-01,2024,8,2,Category B,686,686,985,105889
2024-08-01,2024,8,2,Category C,216,215,333,72400
2024-08-01,2024,8,2,Category D,523,522,614,9310
2024-08-01,2024,8,2,Category E,173,168,350,106001
2024-09-01,2024,9,1,Category A,983,966,"1,308",96490
2024-09-01,2024,9,1,Category B,665,657,924,106300
2024-09-01,2024,9,1,Category C,216,215,324,74001
2024-09-01,2024,9,1,Category D,522,520,622,9801
2024-09-01,2024,9,1,Category E,176,166,388,106901
2024-09-01,2024,9,2,Category A,990,909,"1,377",98524
2024-09-01,2024,9,2,Category B,663,656,879,110001
2024-09-01,2024,9,2,Category C,217,212,318,74000
2024-09-01,2024,9,2,Category D,520,516,636,9900
2024-09-01,2024,9,2,Category E,177,173,383,113104
2024-10-01,2024,10,1,Category A,994,986,"1,604",103799
2024-10-01,2024,10,1,Category B,671,652,"1,084",116002
2024-10-01,2024,10,1,Category C,218,216,321,75009
2024-10-01,2024,10,1,Category D,520,519,604,10001
2024-10-01,2024,10,1,Category E,182,171,346,116000
2024-10-01,2024,10,2,Category A,1058,"1,048","1,499",102900
2024-10-01,2024,10,2,Category B,670,669,975,113890
2024-10-01,2024,10,2,Category C,222,222,337,72939
2024-10-01,2024,10,2,Category D,522,515,626,9589
2024-10-01,2024,10,2,Category E,177,177,327,114700
2024-11-01,2024,11,1,Category A,1040,"1,035","1,338",99889
2024-11-01,2024,11,1,Category B,696,683,"1,039",108001
2024-11-01,2024,11,1,Category C,236,209,365,68340
2024-11-01,2024,11,1,Category D,520,520,598,9089
2024-11-01,2024,11,1,Category E,189,189,321,109000
2024-11-01,2024,11,2,Category A,1041,"1,038","1,320",89889
2024-11-01,2024,11,2,Category B,678,678,874,105081
2024-11-01,2024,11,2,Category C,235,214,378,69000
2024-11-01,2024,11,2,Category D,524,524,637,8669
2024-11-01,2024,11,2,Category E,179,176,298,107501
2024-12-01,2024,12,1,Category A,1037,"1,034","1,475",94000
2024-12-01,2024,12,1,Category B,689,689,866,103010
2024-12-01,2024,12,1,Category C,262,249,418,70289
2024-12-01,2024,12,1,Category D,517,516,570,7878
2024-12-01,2024,12,1,Category E,179,167,326,104001
2024-12-01,2024,12,2,Category A,1035,998,"1,506",96000
2024-12-01,2024,12,2,Category B,676,667,987,109000
2024-12-01,2024,12,2,Category C,255,255,400,69890
2024-12-01,2024,12,2,Category D,519,504,641,8381
2024-12-01,2024,12,2,Category E,182,170,330,108992
2025-01-01,2025,1,1,Category A,1034,"1,034","1,381",93699
2025-01-01,2025,1,1,Category B,677,674,"1,266",121501
2025-01-01,2025,1,1,Category C,248,246,364,67891
2025-01-01,2025,1,1,Category D,520,513,595,9001
2025-01-01,2025,1,1,Category E,191,190,415,123000
2025-01-01,2025,1,2,Category A,1069,"1,058","1,484",93601
2025-01-01,2025,1,2,Category B,686,686,"1,071",116625
2025-01-01,2025,1,2,Category C,234,233,373,65476
2025-01-01,2025,1,2,Category D,536,530,651,7721
2025-01-01,2025,1,2,Category E,190,190,326,115112
2025-02-01,2025,2,1,Category A,1138,"1,132","1,446",85000
2025-02-01,2025,2,1,Category B,748,727,"1,007",111104
2025-02-01,2025,2,1,Category C,260,256,394,62506
2025-02-01,2025,2,1,Category D,524,523,718,8289
2025-02-01,2025,2,1,Category E,199,195,369,110000
2025-02-01,2025,2,2,Category A,1149,"1,149","2,290",92850
2025-02-01,2025,2,2,Category B,744,741,"1,135",109598
2025-02-01,2025,2,2,Category C,259,240,430,65189
2025-02-01,2025,2,2,Category D,524,517,645,8791
2025-02-01,2025,2,2,Category E,198,197,367,110002
2025-03-01,2025,3,1,Category A,1144,"1,144","2,034",92730
2025-03-01,2025,3,1,Category B,765,749,"1,208",113000
2025-03-01,2025,3,1,Category C,262,253,413,67001
2025-03-01,2025,3,1,Category D,519,519,624,9201
2025-03-01,2025,3,1,Category E,202,200,403,112901
2025-03-01,2025,3,2,Category A,1138,"1,137","1,951",94502
2025-03-01,2025,3,2,Category B,747,747,"1,196",116890
2025-03-01,2025,3,2,Category C,277,275,469,70089
2025-03-01,2025,3,2,Category D,525,525,626,9511
2025-03-01,2025,3,2,Category E,198,196,382,116991
2025-04-01,2025,4,1,Category A,1138,"1,122","2,162",97724
2025-04-01,2025,4,1,Category B,760,729,"1,200",117899
2025-04-01,2025,4,1,Category C,267,267,382,68782
2025-04-01,2025,4,1,Category D,517,515,603,9889
2025-04-01,2025,4,1,Category E,200,195,390,117002
2025-04-01,2025,4,2,Category A,1139,"1,124","2,121",99500
2025-04-01,2025,4,2,Category B,744,744,"1,098",117003
2025-04-01,2025,4,2,Category C,260,260,399,65001
2025-04-01,2025,4,2,Category D,519,518,660,9309
2025-04-01,2025,4,2,Category E,200,195,406,118001
2025-05-01,2025,5,1,Category A,1267,"1,244","2,240",103009
2025-05-01,2025,5,1,Category B,813,800,"1,210",119890
2025-05-01,2025,5,1,Category C,271,266,386,62590
2025-05-01,2025,5,1,Category D,536,532,676,8709
2025-05-01,2025,5,1,Category E,207,206,384,118889
2025-05-01,2025,5,2,Category A,1267,"1,265","1,915",102501
2025-05-01,2025,5,2,Category B,782,779,"1,093",116988
2025-05-01,2025,5,2,Category C,271,271,382,63189
2025-05-01,2025,5,2,Category D,534,532,655,8707
2025-05-01,2025,5,2,Category E,206,185,387,118010
2025-06-01,2025,6,1,Category A,1275,"1,274","1,691",96999
2025-06-01,2025,6,1,Category B,795,795,974,113000
2025-06-01,2025,6,1,Category C,276,256,386,62000
2025-06-01,2025,6,1,Category D,538,538,631,9000
2025-06-01,2025,6,1,Category E,202,191,363,113900
2025-06-01,2025,6,2,Category A,1254,"1,253","1,647",98124
2025-06-01,2025,6,2,Category B,784,781,"1,163",116670
2025-06-01,2025,6,2,Category C,271,270,393,65000
2025-06-01,2025,6,2,Category D,535,528,605,8600
2025-06-01,2025,6,2,Category E,223,214,399,116889
2025-07-01,2025,7,1,Category A,1253,"1,250","1,918",101102
2025-07-01,2025,7,1,Category B,781,781,"1,199",119600
2025-07-01,2025,7,1,Category C,291,275,432,66689
2025-07-01,2025,7,1,Category D,533,533,629,9389
2025-07-01,2025,7,1,Category E,212,207,384,118500
2025-07-01,2025,7,2,Category A,1253,"1,253","1,874",101102
2025-07-01,2025,7,2,Category B,784,782,"1,148",119101
2025-07-01,2025,7,2,Category C,271,271,405,68600
2025-07-01,2025,7,2,Category D,540,534,622,9511
2025-07-01,2025,7,2,Category E,211,210,431,120000
2025-08-01,2025,8,1,Category A,1268,"1,257","1,755",102009
2025-08-01,2025,8,1,Category B,789,789,"1,271",123498
2025-08-01,2025,8,1,Category C,290,281,422,70001
2025-08-01,2025,8,1,Category D,533,526,633,9189
2025-08-01,2025,8,1,Category E,261,261,511,122334
2025-08-01,2025,8,2,Category A,1264,"1,257","1,922",104524
2025-08-01,2025,8,2,Category B,792,789,"1,221",124400
2025-08-01,2025,8,2,Category C,273,271,472,72190
2025-08-01,2025,8,2,Category D,540,535,654,8809
2025-08-01,2025,8,2,Category E,257,257,491,125001
2025-09-01,2025,9,1,Category A,1275,"1,271","1,844",107889
2025-09-01,2025,9,1,Category B,790,750,"1,186",127501
2025-09-01,2025,9,1,Category C,283,282,401,71556
2025-09-01,2025,9,1,Category D,540,540,633,9101
2025-09-01,2025,9,1,Category E,256,254,489,127901
2025-09-01,2025,9,2,Category A,1272,"1,266","2,521",119003
2025-09-01,2025,9,2,Category B,792,772,"1,273",136890
2025-09-01,2025,9,2,Category C,276,274,413,72501
2025-09-01,2025,9,2,Category D,539,539,617,9209
2025-09-01,2025,9,2,Category E,256,252,540,140502
2025-10-01,2025,10,1,Category A,1268,"1,239","2,572",128105
2025-10-01,2025,10,1,Category B,830,828,"1,202",141000
2025-10-01,2025,10,1,Category C,274,273,424,74301
2025-10-01,2025,10,1,Category D,533,528,630,9810
2025-10-01,2025,10,1,Category E,259,251,472,140009
2025-10-01,2025,10,2,Category A,1270,"1,262","1,968",122000
2025-10-01,2025,10,2,Category B,809,800,977,131889
2025-10-01,2025,10,2,Category C,276,276,427,76801
2025-10-01,2025,10,2,Category D,533,528,598,9389
2025-10-01,2025,10,2,Category E,261,260,414,136000
2025-11-01,2025,11,1,Category A,1306,"1,303","1,682",110002
2025-11-01,2025,11,1,Category B,800,795,953,115001
2025-11-01,2025,11,1,Category C,283,279,434,76000
2025-11-01,2025,11,1,Category D,538,537,631,8600
2025-11-01,2025,11,1,Category E,282,266,467,121010
2025-11-01,2025,11,2,Category A,1285,"1,279","1,587",109000
2025-11-01,2025,11,2,Category B,806,765,"1,514",129890
2025-11-01,2025,11,2,Category C,282,278,406,76389
2025-11-01,2025,11,2,Category D,538,535,595,8729
2025-11-01,2025,11,2,Category E,276,275,466,125001
2025-12-01,2025,12,1,Category A,1280,"1,272","1,557",105413
2025-12-01,2025,12,1,Category B,802,775,"1,096",123900
2025-12-01,2025,12,1,Category C,286,281,370,76501
2025-12-01,2025,12,1,Category D,534,523,627,8289
2025-12-01,2025,12,1,Category E,291,288,544,123000
2025-12-01,2025,12,2,Category A,1283,"1,259","1,647",109501
2025-12-01,2025,12,2,Category B,838,832,968,115102
2025-12-01,2025,12,2,Category C,286,285,407,77003
2025-12-01,2025,12,2,Category D,536,532,632,8081
2025-12-01,2025,12,2,Category E,276,252,455,119000
2026-01-01,2026,1,1,Category A,1285,"1,284","1,658",102009
2026-01-01,2026,1,1,Category B,824,821,"1,128",119100
2026-01-01,2026,1,1,Category C,287,286,394,75503
2026-01-01,2026,1,1,Category D,544,527,639,8689
2026-01-01,2026,1,1,Category E,278,247,528,122000
2026-01-01,2026,1,2,Category A,1301,"1,277","2,303",109501
2026-01-01,2026,1,2,Category B,803,800,"1,207",121634
2026-01-01,2026,1,2,Category C,283,280,434,75202
2026-01-01,2026,1,2,Category D,538,523,609,8860
2026-01-01,2026,1,2,Category E,299,299,426,120891
